,station_1_name,station_1_id,station_1_latitude,station_1_longitude,station_2_name,station_2_id,station_2_latitude,station_2_longitude,n,station_pair_area
0,10th Ave at E 15th St,222.0,37.7927143,-122.24877959999999,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,17,East Bay
1,10th Ave at E 15th St,222.0,37.7927143,-122.24877959999999,Bay Pl at Vernon St,195.0,37.81231409135146,-122.26077854633331,3,East Bay
2,10th Ave at E 15th St,222.0,37.7927143,-122.24877959999999,El Embarcadero at Grand Ave,197.0,37.808847899999996,-122.24967990000002,2,East Bay
3,10th Ave at E 15th St,222.0,37.7927143,-122.24877959999999,Frank H Ogawa Plaza,7.0,37.8045623549303,-122.27173805236816,12,East Bay
4,10th Ave at E 15th St,222.0,37.7927143,-122.24877959999999,Grand Ave at Santa Clara Ave,193.0,37.812744099999996,-122.2472152,1,East Bay
5,10th Ave at E 15th St,222.0,37.7927143,-122.24877959999999,Lake Merritt BART Station,163.0,37.7973195,-122.26531990000001,12,East Bay
6,10th Ave at E 15th St,222.0,37.7927143,-122.24877959999999,Lakeshore Ave at Trestle Glen Rd,194.0,37.811080700000005,-122.24326770000002,1,East Bay
7,10th Ave at E 15th St,222.0,37.7927143,-122.24877959999999,Lakeside Dr at 14th St,186.0,37.8013189,-122.26264180000001,3,East Bay
8,10th Ave at E 15th St,222.0,37.7927143,-122.24877959999999,Marston Campbell Park,219.0,37.8098236,-122.2801923,4,East Bay
9,10th Ave at E 15th St,222.0,37.7927143,-122.24877959999999,San Antonio Park,46.0,37.790139851853645,-122.24237322807312,2,East Bay
10,10th Ave at E 15th St,222.0,37.7927143,-122.24877959999999,Telegraph Ave at 19th St,183.0,37.8087021,-122.26992709999999,6,East Bay
11,10th Ave at E 15th St,222.0,37.7927143,-122.24877959999999,Washington St at 8th St,202.0,37.8007544,-122.2748943,3,East Bay
12,10th Ave at E 15th St,222.0,37.7927143,-122.24877959999999,Webster St at 2nd St,203.0,37.795194764385954,-122.27396965026855,1,East Bay
13,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,19th Street BART Station,182.0,37.809012599999996,-122.2682473,3,East Bay
14,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,2nd Ave at E 18th St,200.0,37.800213566969795,-122.25381016731262,293,East Bay
15,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,Bay Pl at Vernon St,195.0,37.81231409135146,-122.26077854633331,6,East Bay
16,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,Broadway at 30th St,178.0,37.819381400000005,-122.2619284,7,East Bay
17,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,El Embarcadero at Grand Ave,197.0,37.808847899999996,-122.24967990000002,43,East Bay
18,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,Frank H Ogawa Plaza,7.0,37.8045623549303,-122.27173805236816,12,East Bay
19,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,Franklin St at 9th St,162.0,37.8005161,-122.27207990000001,4,East Bay
20,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,Grand Ave at Perkins St,196.0,37.80889393398715,-122.25646018981932,3,East Bay
21,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,Grand Ave at Santa Clara Ave,193.0,37.812744099999996,-122.2472152,13,East Bay
22,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,Grand Ave at Webster St,181.0,37.8113768,-122.2651925,6,East Bay
23,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,Lake Merritt BART Station,163.0,37.7973195,-122.26531990000001,10,East Bay
24,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,Lakeshore Ave at Trestle Glen Rd,194.0,37.811080700000005,-122.24326770000002,33,East Bay
25,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,Lakeside Dr at 14th St,186.0,37.8013189,-122.26264180000001,4,East Bay
26,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,San Antonio Park,46.0,37.790139851853645,-122.24237322807312,8,East Bay
27,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,Snow Park,198.0,37.80781318217903,-122.26449608802795,4,East Bay
