p1_lat,p1_long,p2_lat,p2_long,n,region
37.79272,-122.24879,37.79252,-122.24909,61,East Bay
37.79252,-122.24909,37.79246,-122.24917,61,East Bay
37.79246,-122.24917,37.79208,-122.24971,61,East Bay
37.79208,-122.24971,37.79186,-122.25002,61,East Bay
37.79186,-122.25002,37.79177,-122.25014,61,East Bay
37.79177,-122.25014,37.7914,-122.25066,61,East Bay
37.7914,-122.25066,37.79158,-122.25084,55,East Bay
37.79158,-122.25084,37.79164,-122.25092,55,East Bay
37.79164,-122.25092,37.79187,-122.25118,55,East Bay
37.79187,-122.25118,37.79214,-122.25149,55,East Bay
37.79214,-122.25149,37.79236,-122.25173,55,East Bay
37.79236,-122.25173,37.79244,-122.25183,55,East Bay
37.79244,-122.25183,37.79265,-122.25206,55,East Bay
37.79265,-122.25206,37.79288,-122.25231,55,East Bay
37.79288,-122.25231,37.793,-122.25245,55,East Bay
37.793,-122.25245,37.79347,-122.25299,55,East Bay
37.79347,-122.25299,37.79361,-122.25315,55,East Bay
37.79361,-122.25315,37.79376,-122.25332,55,East Bay
37.79376,-122.25332,37.79391,-122.25348,55,East Bay
37.79391,-122.25348,37.79434,-122.25397,55,East Bay
37.79434,-122.25397,37.79458,-122.25424,110,East Bay
37.79458,-122.25424,37.79464,-122.25431,110,East Bay
37.79464,-122.25431,37.79475,-122.25443,110,East Bay
37.79475,-122.25443,37.79476,-122.25445,110,East Bay
37.79476,-122.25445,37.79507,-122.2548,110,East Bay
37.79507,-122.2548,37.79581,-122.25563,93,East Bay
37.79581,-122.25563,37.79655,-122.25646,219,East Bay
37.79655,-122.25646,37.7968,-122.25676,219,East Bay
37.7968,-122.25676,37.79689,-122.25686,219,East Bay
37.79689,-122.25686,37.79721,-122.25724,219,East Bay
37.79721,-122.25724,37.79727,-122.25731,219,East Bay
37.79727,-122.25731,37.79718,-122.25744,99,East Bay
37.79718,-122.25744,37.79708,-122.25758,99,East Bay
37.79708,-122.25758,37.79659,-122.25826,99,East Bay
37.79659,-122.25826,37.79655,-122.25832,99,East Bay
37.79655,-122.25832,37.796,-122.25909,99,East Bay
37.796,-122.25909,37.79594,-122.25917,99,East Bay
37.79594,-122.25917,37.79599,-122.25923,99,East Bay
37.79599,-122.25923,37.79626,-122.25954,99,East Bay
37.79626,-122.25954,37.79638,-122.25971,99,East Bay
37.79638,-122.25971,37.79643,-122.25984,99,East Bay
37.79643,-122.25984,37.79649,-122.25998,99,East Bay
37.79649,-122.25998,37.79668,-122.26047,99,East Bay
37.79668,-122.26047,37.79688,-122.26098,99,East Bay
37.79688,-122.26098,37.79694,-122.26113,99,East Bay
37.79694,-122.26113,37.79726,-122.26195,99,East Bay
37.79726,-122.26195,37.79748,-122.26248,99,East Bay
37.79748,-122.26248,37.7975,-122.26255,99,East Bay
37.7975,-122.26255,37.79755,-122.26266,99,East Bay
37.79755,-122.26266,37.79768,-122.263,99,East Bay
37.79727,-122.25731,37.79733,-122.25737,502,East Bay
37.79733,-122.25737,37.79764,-122.2577,502,East Bay
37.79764,-122.2577,37.79783,-122.25792,502,East Bay
37.79783,-122.25792,37.79787,-122.25796,502,East Bay
37.79787,-122.25796,37.79798,-122.25805,502,East Bay
37.79798,-122.25805,37.79812,-122.25813,502,East Bay
37.79812,-122.25813,37.79827,-122.2582,109,East Bay
37.79827,-122.2582,37.79824,-122.25841,833,East Bay
37.79824,-122.25841,37.79824,-122.25861,833,East Bay
37.79824,-122.25861,37.79827,-122.25924,833,East Bay
37.79827,-122.25924,37.7983,-122.25993,833,East Bay
37.7983,-122.25993,37.79832,-122.26026,833,East Bay
37.79832,-122.26026,37.79833,-122.26046,833,East Bay
37.79833,-122.26046,37.79836,-122.26064,833,East Bay
37.79836,-122.26064,37.79837,-122.26069,833,East Bay
37.79837,-122.26069,37.79844,-122.26096,833,East Bay
37.79844,-122.26096,37.79853,-122.26115,833,East Bay
37.79853,-122.26115,37.79855,-122.26119,833,East Bay
37.79855,-122.26119,37.7987,-122.26139,833,East Bay
37.7987,-122.26139,37.79882,-122.26151,833,East Bay
37.79882,-122.26151,37.79895,-122.2616,833,East Bay
37.79895,-122.2616,37.79903,-122.26165,833,East Bay
37.79903,-122.26165,37.79929,-122.26176,383,East Bay
37.79929,-122.26176,37.80005,-122.26198,383,East Bay
37.80005,-122.26198,37.80028,-122.26204,383,East Bay
37.80028,-122.26204,37.80042,-122.26208,383,East Bay
37.80042,-122.26208,37.80046,-122.2621,383,East Bay
37.80046,-122.2621,37.80063,-122.2622,383,East Bay
37.80063,-122.2622,37.80087,-122.26241,383,East Bay
37.80087,-122.26241,37.80095,-122.2625,383,East Bay
37.80095,-122.2625,37.80103,-122.26268,383,East Bay
37.80103,-122.26268,37.80105,-122.26274,383,East Bay
37.80105,-122.26274,37.80107,-122.26291,479,East Bay
37.80107,-122.26291,37.80121,-122.26284,321,East Bay
37.80121,-122.26284,37.80124,-122.26282,321,East Bay
37.80124,-122.26282,37.80151,-122.26265,93,East Bay
37.80151,-122.26265,37.80167,-122.26255,118,East Bay
37.80167,-122.26255,37.80173,-122.26251,118,East Bay
37.80173,-122.26251,37.80188,-122.26242,118,East Bay
37.80188,-122.26242,37.80204,-122.26232,118,East Bay
37.80204,-122.26232,37.80234,-122.26213,118,East Bay
37.80234,-122.26213,37.80237,-122.26212,118,East Bay
37.80237,-122.26212,37.80272,-122.2619,118,East Bay
37.80272,-122.2619,37.80277,-122.26187,118,East Bay
37.80277,-122.26187,37.80282,-122.26184,118,East Bay
37.80282,-122.26184,37.80305,-122.2617,118,East Bay
37.80305,-122.2617,37.80348,-122.26143,118,East Bay
37.80348,-122.26143,37.80359,-122.26136,118,East Bay
37.80359,-122.26136,37.80364,-122.26132,118,East Bay
37.80364,-122.26132,37.80369,-122.26128,118,East Bay
37.80369,-122.26128,37.80374,-122.26122,118,East Bay
37.80374,-122.26122,37.80378,-122.26115,245,East Bay
37.80378,-122.26115,37.80383,-122.26108,245,East Bay
37.80383,-122.26108,37.80388,-122.26101,245,East Bay
37.80388,-122.26101,37.804,-122.26094,245,East Bay
37.804,-122.26094,37.80407,-122.26093,245,East Bay
37.80407,-122.26093,37.80421,-122.26094,245,East Bay
37.80421,-122.26094,37.80433,-122.261,245,East Bay
37.80433,-122.261,37.80438,-122.26105,245,East Bay
37.80438,-122.26105,37.80449,-122.26117,245,East Bay
37.80449,-122.26117,37.80463,-122.26137,245,East Bay
37.80463,-122.26137,37.80483,-122.26171,245,East Bay
37.80483,-122.26171,37.80499,-122.26192,245,East Bay
37.80499,-122.26192,37.80515,-122.2621,245,East Bay
37.80515,-122.2621,37.80519,-122.26214,245,East Bay
37.80519,-122.26214,37.80525,-122.2622,245,East Bay
37.80525,-122.2622,37.80545,-122.26238,245,East Bay
37.80545,-122.26238,37.80583,-122.26262,245,East Bay
37.80583,-122.26262,37.80594,-122.2627,245,East Bay
37.80594,-122.2627,37.80607,-122.26278,245,East Bay
37.80607,-122.26278,37.80648,-122.26304,245,East Bay
37.80648,-122.26304,37.80663,-122.26314,245,East Bay
37.80663,-122.26314,37.8071,-122.26342,245,East Bay
37.8071,-122.26342,37.8072,-122.26346,245,East Bay
37.8072,-122.26346,37.80732,-122.2635,245,East Bay
37.80732,-122.2635,37.80758,-122.26349,245,East Bay
37.80758,-122.26349,37.80785,-122.26342,245,East Bay
37.80785,-122.26342,37.80826,-122.26328,245,East Bay
37.80826,-122.26328,37.8084,-122.26328,245,East Bay
37.8084,-122.26328,37.80844,-122.26323,600,East Bay
37.80844,-122.26323,37.80861,-122.26309,600,East Bay
37.80861,-122.26309,37.80869,-122.26305,600,East Bay
37.80869,-122.26305,37.80878,-122.26302,600,East Bay
37.80878,-122.26302,37.80923,-122.26286,600,East Bay
37.80923,-122.26286,37.80929,-122.26284,600,East Bay
37.80929,-122.26284,37.80938,-122.26281,600,East Bay
37.80938,-122.26281,37.80974,-122.26268,600,East Bay
37.80974,-122.26268,37.81006,-122.26256,600,East Bay
37.81006,-122.26256,37.81014,-122.26254,600,East Bay
37.81014,-122.26254,37.81018,-122.26251,600,East Bay
37.81018,-122.26251,37.81039,-122.26246,267,East Bay
37.81039,-122.26246,37.8107,-122.26238,267,East Bay
37.8107,-122.26238,37.81075,-122.26236,267,East Bay
37.81075,-122.26236,37.81089,-122.26231,267,East Bay
37.81089,-122.26231,37.81102,-122.26226,223,East Bay
37.81102,-122.26226,37.81103,-122.26226,223,East Bay
37.81103,-122.26226,37.81139,-122.2621,223,East Bay
37.81139,-122.2621,37.81144,-122.26208,223,East Bay
37.81144,-122.26208,37.8115,-122.26205,223,East Bay
37.8115,-122.26205,37.81173,-122.26196,223,East Bay
37.81173,-122.26196,37.81199,-122.26184,223,East Bay
37.81199,-122.26184,37.81229,-122.26169,223,East Bay
37.81229,-122.26169,37.81234,-122.26166,223,East Bay
37.81234,-122.26166,37.8126,-122.26153,223,East Bay
37.8126,-122.26153,37.81271,-122.26148,223,East Bay
37.81271,-122.26148,37.81267,-122.2614,261,East Bay
37.81267,-122.2614,37.81264,-122.26136,261,East Bay
37.81264,-122.26136,37.81255,-122.26122,261,East Bay
37.81255,-122.26122,37.81243,-122.26109,261,East Bay
37.81243,-122.26109,37.81239,-122.26106,261,East Bay
37.81239,-122.26106,37.81235,-122.26102,261,East Bay
37.81235,-122.26102,37.81227,-122.26095,301,East Bay
37.81227,-122.26095,37.81232,-122.26084,239,East Bay
37.81232,-122.26084,37.81233,-122.26079,323,East Bay
37.79272,-122.24879,37.79274,-122.24877,6,East Bay
37.79274,-122.24877,37.79237,-122.24836,17,East Bay
37.79237,-122.24836,37.79201,-122.24795,17,East Bay
37.79201,-122.24795,37.79266,-122.24702,4,East Bay
37.79266,-122.24702,37.79328,-122.24772,5,East Bay
37.79328,-122.24772,37.79339,-122.24786,5,East Bay
37.79339,-122.24786,37.79344,-122.2479,5,East Bay
37.79344,-122.2479,37.79413,-122.24869,5,East Bay
37.79413,-122.24869,37.79445,-122.24903,5,East Bay
37.79445,-122.24903,37.79447,-122.24906,5,East Bay
37.79447,-122.24906,37.79454,-122.24914,5,East Bay
37.79454,-122.24914,37.79487,-122.24951,5,East Bay
37.79487,-122.24951,37.79561,-122.25036,5,East Bay
37.79561,-122.25036,37.79592,-122.2507,5,East Bay
37.79592,-122.2507,37.79618,-122.251,5,East Bay
37.79618,-122.251,37.79633,-122.25117,5,East Bay
37.79633,-122.25117,37.79673,-122.25162,5,East Bay
37.79673,-122.25162,37.79678,-122.25168,5,East Bay
37.79678,-122.25168,37.79707,-122.252,5,East Bay
37.79707,-122.252,37.7978,-122.25284,14,East Bay
37.7978,-122.25284,37.79827,-122.25335,25,East Bay
37.79827,-122.25335,37.79842,-122.25353,25,East Bay
37.79842,-122.25353,37.79849,-122.25361,25,East Bay
37.79849,-122.25361,37.79854,-122.25366,25,East Bay
37.79854,-122.25366,37.79895,-122.25413,25,East Bay
37.79895,-122.25413,37.79909,-122.25427,25,East Bay
37.79909,-122.25427,37.79919,-122.25432,25,East Bay
37.79919,-122.25432,37.79928,-122.25437,25,East Bay
37.79928,-122.25437,37.79934,-122.25442,25,East Bay
37.79934,-122.25442,37.79939,-122.25447,515,East Bay
37.79939,-122.25447,37.79974,-122.25486,515,East Bay
37.79974,-122.25486,37.7999,-122.25502,515,East Bay
37.7999,-122.25502,37.80001,-122.25512,515,East Bay
37.80001,-122.25512,37.80006,-122.255,532,East Bay
37.80006,-122.255,37.80011,-122.25489,532,East Bay
37.80011,-122.25489,37.80021,-122.25472,532,East Bay
37.80021,-122.25472,37.80036,-122.25456,532,East Bay
37.80036,-122.25456,37.80042,-122.25451,532,East Bay
37.80042,-122.25451,37.80054,-122.25441,532,East Bay
37.80054,-122.25441,37.80064,-122.25437,127,East Bay
37.80064,-122.25437,37.80078,-122.25432,127,East Bay
37.80078,-122.25432,37.80093,-122.25431,127,East Bay
37.80093,-122.25431,37.80105,-122.25432,127,East Bay
37.80105,-122.25432,37.80116,-122.25435,299,East Bay
37.80116,-122.25435,37.80121,-122.25435,299,East Bay
37.80121,-122.25435,37.80146,-122.25438,299,East Bay
37.80146,-122.25438,37.80154,-122.25439,299,East Bay
37.80154,-122.25439,37.80172,-122.25439,299,East Bay
37.80172,-122.25439,37.80195,-122.25434,299,East Bay
37.80195,-122.25434,37.80218,-122.25423,299,East Bay
37.80218,-122.25423,37.80244,-122.25404,299,East Bay
37.80244,-122.25404,37.80257,-122.25392,299,East Bay
37.80257,-122.25392,37.80266,-122.25384,299,East Bay
37.80266,-122.25384,37.80277,-122.25375,299,East Bay
37.80277,-122.25375,37.80289,-122.25368,299,East Bay
37.80289,-122.25368,37.80292,-122.25366,299,East Bay
37.80292,-122.25366,37.80309,-122.25357,299,East Bay
37.80309,-122.25357,37.80355,-122.25339,299,East Bay
37.80355,-122.25339,37.80367,-122.25332,299,East Bay
37.80367,-122.25332,37.80385,-122.25316,299,East Bay
37.80385,-122.25316,37.80393,-122.25305,299,East Bay
37.80393,-122.25305,37.804,-122.2529,299,East Bay
37.804,-122.2529,37.80404,-122.25272,299,East Bay
37.80404,-122.25272,37.80424,-122.25148,299,East Bay
